ISBN,Title,Author,Date Published,MSRP,New,Used
9780911581010,N/A,N/A,N/A,N/A,21.25,12.49
9780974306018,N/A,N/A,N/A,N/A,0.0,187.43
0075308000663,N/A,N/A,N/A,N/A,0.0,0.0
9781559183789,N/A,N/A,N/A,N/A,29.99,8.23
9781559183871,N/A,N/A,N/A,N/A,9.95,12.98
9780911581010,N/A,N/A,N/A,N/A,21.25,12.49
9780911581010,N/A,N/A,N/A,N/A,21.25,12.49
0937522045,N/A,N/A,N/A,N/A,0.0,0.0
9781627008273,N/A,N/A,N/A,N/A,26.98,12.0
9780871167712,N/A,N/A,N/A,N/A,9.99,5.19
0760313674,N/A,N/A,N/A,N/A,0.0,0.0
0937522045,N/A,N/A,N/A,N/A,0.0,0.0
0486440400,N/A,N/A,N/A,N/A,26.6,16.23
0911581014,N/A,N/A,N/A,N/A,21.25,12.49
9718877900637,N/A,N/A,N/A,N/A,0.0,0.0
1887790004,N/A,N/A,N/A,N/A,69.69,24.23
0760313679,N/A,N/A,N/A,N/A,59.72,4.09
9780897781763,N/A,N/A,N/A,N/A,104.43,31.74
0064465164103,N/A,N/A,N/A,N/A,0.0,0.0
9780896893047,N/A,N/A,N/A,N/A,61.78,8.87
9780873417693,N/A,N/A,N/A,N/A,28.99,4.66
9780974306049,N/A,N/A,N/A,N/A,0.0,40.14
0870461015,N/A,N/A,N/A,N/A,0.0,0.0
9780600562860,N/A,N/A,N/A,N/A,0.0,0.0
9780831714529,N/A,N/A,N/A,N/A,9.95,4.47
9781861553669,N/A,N/A,N/A,N/A,0.0,19.95
0801562185,N/A,N/A,N/A,N/A,0.0,0.0
9780831774622,N/A,N/A,N/A,N/A,6.09,4.49
0816013713,N/A,N/A,N/A,N/A,44.98,9.49
9780681215337,N/A,N/A,N/A,N/A,24.4,4.14
9780831764821,N/A,N/A,N/A,N/A,16.94,4.4
0934729401,N/A,N/A,N/A,N/A,0.0,0.0
