ISBN,Title,Author,Date Published,MSRP,New,Used
9790312221194,N/A,N/A,N/A,N/A,0.0,0.0
60390506,N/A,N/A,N/A,N/A,0.0,0.0
9790312221194,N/A,N/A,N/A,N/A,0.0,0.0
29012708,N/A,N/A,N/A,N/A,0.0,0.0
688043364,N/A,N/A,N/A,N/A,0.0,0.0
9780807055106,N/A,N/A,N/A,N/A,14.3,3.69
151369038,N/A,N/A,N/A,N/A,0.0,0.0
385184395,N/A,N/A,N/A,N/A,0.0,0.0
395081602,N/A,N/A,N/A,N/A,0.0,0.0
394516710,N/A,N/A,N/A,N/A,0.0,0.0
393013359,N/A,N/A,N/A,N/A,0.0,0.0
394527534,N/A,N/A,N/A,N/A,0.0,0.0
136533388,N/A,N/A,N/A,N/A,0.0,0.0
841503346,N/A,N/A,N/A,N/A,0.0,0.0
671545951,N/A,N/A,N/A,N/A,0.0,0.0
9780395660805,N/A,N/A,N/A,N/A,13.91,2.6
