ISBN,Title,Author,Date Published,MSRP,New,Used
9781851703784,N/A,N/A,N/A,N/A,40.95,9.19
9781472847799,N/A,N/A,N/A,N/A,39.75,38.23
283983132,N/A,N/A,N/A,N/A,0.0,0.0
9780907771333,N/A,N/A,N/A,N/A,0.0,0.0
9781612513263,N/A,N/A,N/A,N/A,13.5,10.31
851771440,N/A,N/A,N/A,N/A,0.0,0.0
9781612513263,N/A,N/A,N/A,N/A,13.5,10.31
9780192116758,N/A,N/A,N/A,N/A,24.25,7.14
9780312088446,N/A,N/A,N/A,N/A,0.0,0.0
9781858338453,N/A,N/A,N/A,N/A,0.0,0.0
192158023,N/A,N/A,N/A,N/A,0.0,0.0
9781851703784,N/A,N/A,N/A,N/A,0.0,0.0
9780785824275,N/A,N/A,N/A,N/A,0.0,0.0
9789353421793,N/A,N/A,N/A,N/A,0.0,0.0
9781521337714,N/A,N/A,N/A,N/A,0.0,0.0
9780850524291,N/A,N/A,N/A,N/A,0.0,0.0
9781844860548,N/A,N/A,N/A,N/A,0.0,0.0
9780907771333,N/A,N/A,N/A,N/A,0.0,0.0
851779379,N/A,N/A,N/A,N/A,0.0,0.0
9780297864080,N/A,N/A,N/A,N/A,0.0,0.0
9780785814146,N/A,N/A,N/A,N/A,0.0,0.0
