ISBN,Title,Author,Date Published,MSRP,New,Used
0890245479,N/A,N/A,N/A,N/A,100.78,12.71
0644651600303,N/A,N/A,N/A,N/A,0.0,0.0
0023922048011,N/A,N/A,N/A,N/A,0.0,0.0
0023922048011,N/A,N/A,N/A,N/A,0.0,0.0
0075308000663,N/A,N/A,N/A,N/A,0.0,0.0
0555210864,N/A,N/A,N/A,N/A,0.0,0.0
0023922200723,N/A,N/A,N/A,N/A,0.0,0.0
0023922200778,N/A,N/A,N/A,N/A,0.0,0.0
0023922021472,N/A,N/A,N/A,N/A,0.0,0.0
0023922021472,N/A,N/A,N/A,N/A,0.0,0.0
0023922629852,N/A,N/A,N/A,N/A,0.0,0.0
0780484534634,N/A,N/A,N/A,N/A,0.0,0.0
0780484534634,N/A,N/A,N/A,N/A,0.0,0.0
0023922200501,N/A,N/A,N/A,N/A,0.0,0.0
0897781015,N/A,N/A,N/A,N/A,54.43,28.25
0897780545,N/A,N/A,N/A,N/A,0.0,0.0
0897781015,N/A,N/A,N/A,N/A,54.43,28.25
0023922852403,N/A,N/A,N/A,N/A,0.0,0.0
1883089285,N/A,N/A,N/A,N/A,0.0,0.0
0973052104,N/A,N/A,N/A,N/A,0.0,24.99
0969741575,N/A,N/A,N/A,N/A,0.0,0.0
9781880365380,N/A,N/A,N/A,N/A,0.0,0.0
1883069026,N/A,N/A,N/A,N/A,0.0,0.0
9780971765481,N/A,N/A,N/A,N/A,54.44,35.98
9780897784559,N/A,N/A,N/A,N/A,22.53,20.5
0023922035585,N/A,N/A,N/A,N/A,0.0,0.0
0023922200471,N/A,N/A,N/A,N/A,0.0,0.0
0023922200686,N/A,N/A,N/A,N/A,0.0,0.0
0023922820617,N/A,N/A,N/A,N/A,0.0,0.0
0023922200792,N/A,N/A,N/A,N/A,0.0,0.0
0023922037398,N/A,N/A,N/A,N/A,0.0,0.0
0023922037381,N/A,N/A,N/A,N/A,0.0,0.0
0023922037381,N/A,N/A,N/A,N/A,0.0,0.0
0897781228,N/A,N/A,N/A,N/A,203.99,125.0
0897781215,N/A,N/A,N/A,N/A,0.0,0.0
9780692081877,N/A,N/A,N/A,N/A,0.0,503.99
0752748306134,N/A,N/A,N/A,N/A,0.0,0.0
9781931477291,N/A,N/A,N/A,N/A,24.95,23.78
1883089285,N/A,N/A,N/A,N/A,0.0,0.0
