ISBN,Title,Author,Date Published,MSRP,New,Used
9780521852548,Visions of Victory: The Hopes of Eight World War II Leaders,"Weinberg, Gerhard L.",2005,39.99,11.49,3.69
9781585670680,Roosevelt and Churchill: Men of Secrets,"Stafford, David",2000,0.00,20.95,3.69
9780674057173,Roosevelt's Purge: How FDR Fought to Change the Democratic Party,"Dunn, Susan",2010,27.95,11.49,3.69
9780061231483,The Wit & Wisdom of FDR,"Humes, James C.",2008,12.95,10.22,3.69
9781501114960,"The Gatekeeper: Missy LeHand, FDR, and the Untold Story of the Partnership That Defined a Presidency","Smith, Kathryn",2016,28,13.39,3.69
9781501114960,"The Gatekeeper: Missy LeHand, FDR, and the Untold Story of the Partnership That Defined a Presidency","Smith, Kathryn",2016,28,13.39,3.69
9780802125118,1941: Fighting the Shadow War: A Divided America in a World at War,"Wortman, Marc",2016,27,12.45,3.69
9780306820618,"Pearl Harbor Christmas: A World at War, December 1941","Weintraub, Stanley",2011,24,14.58,3.69
9781439114087,1944: FDR and the Year That Changed History,"Winik, Jay",2015,35,19.56,3.69
9781585670680,Roosevelt and Churchill: Men of Secrets,"Stafford, David",2000,0.00,20.95,3.69
9780743265157,The Man He Became: How FDR Defied Polio to Win the Presidency,"Tobin, James",2013,0.00,11.01,3.68
9780965381086,The Crisis of the Old Order: The Age of Roosevelt,"Schlesinger, Arthur Meier",2002,0.00,10.99,3.66
9780195168266,That Man: An Insider's Portrait of Franklin D. Roosevelt,Robert H. Jackson,2003,30,13.8,3.66
9781594201967,Nothing to Fear: FDR's Inner Circle and the Hundred Days That Created ModernAmerica,"Cohen, Adam",2009,0.00,7.98,3.66
9780195168266,That Man: An Insider's Portrait of Franklin D. Roosevelt,Robert H. Jackson,2003,30,13.8,3.66
9780465019823,No End Save Victory: How FDR Led the Nation into War,"Kaiser, David",2014,0.00,16.92,3.64
9780670021413,Yalta: The Price of Peace,"Plokhy, S. M.",2010,29.95,15.99,3.61
9780679446378,"The Roosevelt Cousins: Growing Up Together, 1882-1924","Donn, Linda",2001,30,22.55,3.59
9780679446378,"The Roosevelt Cousins: Growing Up Together, 1882-1924","Donn, Linda",2001,30,22.55,3.59
9781400064427,"Franklin and Lucy: President Roosevelt, Mrs. Rutherfurd, and the Other Remarkable Women in His Life","Persico, Joseph E.",2008,28,13.06,3.34
9780375761263,Roosevelt's Secret War: FDR and World War II Espionage,Joseph E. Persico,2002,14.98,13.98,2.6
9780886874070,Eleanor Roosevelt's My Day: Her Acclaimed Columns 1936-1945,"Roosevelt, Eleanor",1989,18.95,33.63,2.6
9780743246002,The Defining Moment: FDR's Hundred Days and the Triumph of Hope,"Alter, Jonathan",2006,29.95,11.16,2.6
9781585674039,One Christmas in Washington,"Bercuson, David",2005,29.95,10.36,2.6
9780684804484,No Ordinary Time: Franklin and Eleanor Roosevelt: The Home Front in World War II,"Goodwin, Doris Kearns",1995,21,13.48,2.6
9780385350792,His Final Battle: The Last Months of Franklin Roosevelt,"Lelyveld, Joseph",2016,30,14.39,2.6
9780446527347,Grandmère: A Personal History of Eleanor Roosevelt,"Roosevelt, David B.",2002,27.95,14.04,2.6
9781400064434,Roosevelt's Centurions: FDR and the Commanders He Led to Victory in World War II,"Persico, Joseph E.",2013,19.88,12.55,2.6
