ISBN,Title,Author,Date Published,MSRP,New,Used
9781848322295,The Kaiser's Battlefleet: German Capital Ships 1871-1918,"Dodson, Aidan",2016,57.95,117.49,90.04
9781591145691,Battleship Bismarck: A Design and Operational History,"Garzke Jr., William H.",2019,95,74.43,69.13
9780851779560,The Cruiser Belfast (Anatomy of the Ship),"Watton, Ross",2010,35,87.5,50.0
9781591149736,"Warships After Washington: The Development of the Five Major Fleets, 1922-1930","Jordan, John",2012,56.95,129.93,48.08
9781472833716,Cold War Fleet: Ships of the Royal Navy 1966–91 A Photographic Album,"Taylor, Clive",2019,0.00,51.23,44.45
9781854095244,King George V Class Battleships,V.e. Tarrant,2000,27.95,49.75,41.77
9781848321380,British Aircraft Carriers,David-Hobbs,2013,0.00,47.23,37.86
9781848321380,British Aircraft Carriers,David-Hobbs,2013,0.00,47.23,37.86
9781682470114,British and German Battlecruisers: Their Development and Operations,"Cosentino, Michele",2016,74.95,62.99,33.08
9781848322110,The Warship Mary Rose: The Life & Times of King Henry VIII’s Flagship,"Childs, David",2014,32.95,44.48,32.95
9781591141204,Clydebank Battlecruisers: Forgotten Photographs from John Brown's Shipyard,"Johnston, Ian",2011,52.95,53.5,31.48
9781861760869,"Foundations of Naval History: John Knox Laughton, The Royal Navy And The Historical Profession","Lambert, Andrew",2006,45,64.0,31.3
9781107150140,The Battle of Jutland (Cambridge Military Histories),"Brooks, John",2016,49.99,31.06,30.0
9781783831234,Skagerrak: The Battle of Jutland Through German Eyes,"Staff, Gary",2016,0.00,71.6,27.41
9780253355935,Tirpitz and the Imperial German Navy,"Kelly, Patrick J.",2011,47,33.52,26.25
9781911096382,The War in The North Sea: The Royal Navy and the Imperial German Army 1914-1918,"Barry, Quintin",2017,0.00,84.74,26.14
9780907771487,The Royal Navy at Malta: A collection of old photographs taken by the Ellis family at Malta,"Warlow, Ben; Ellis, Richard",1989,0.00,229.35,25.62
9781551250618,"No Higher Purpose: The Official Operational History of the Royal Canadian Navy in the Second World War, 1939-1943, Vol. 2, Part I",W. A. B. Douglas,2004,50,34.73,24.8
9781844862061,The Battleship Dreadnought (Anatomy of the Ship),"Roberts, John",2013,0.00,105.38,24.66
9781557503152,The Grand Fleet: Warship Design and Development 1906-1922,"Brown, David K.",1999,219.84,91.28,23.52
9780719557651,Cunningham,"Winton, John",1999,55,106.08,21.66
9780948466281,Royal Navy At Gibraltar,Tito Benady,1993,0.00,91.85,21.48
9781557501417,Cruisers of World War Two: An International Encyclopedia,"Whitley, M. J.",1996,0.00,90.26,19.99
9781591141747,From Imperial Splendor to Internment: The German Navy in the First World War,"Wolz, Nicholas",2015,0.00,33.35,18.99
9781591141747,From Imperial Splendor to Internment: The German Navy in the First World War,"Wolz, Nicholas",2015,0.00,33.35,18.99
9781472846600,Sinking Force Z 1941: The day the Imperial Japanese Navy killed the battleship (Air Campaign),"Konstam, Angus",2021,0.00,14.43,18.13
9781682470084,"Clash of Fleets: Naval Battles of the Great War, 1914–18","O'Hara, Vincent P.",2017,0.00,40.94,16.78
9781845130206,"Somerville's Force H: The Royal Navy's Gibraltar-based Fleet, June 1940 To March 1942","Dannreuther, Raymond.",2005,0.00,45.32,14.99
9781781593172,The Royal Navy and the War at Sea - 1914-1919 (Despatches from the Front),"Mace, Martin",2015,0.00,18.0,14.77
9781557500519,Battleship Warspite,"Tarrant, V. E.",1991,34.95,43.75,14.33
9781445648965,Rosyth Dockyard and Naval Base Through Time,"Burt, Walter",2016,0.00,16.9,13.34
9781896941325,In Peril on the Sea: The Royal Canadian Navy and the Battle of the Atlantic,"Graves E., Donald",2003,34.95,41.11,13.12
9781557506177,Naval Aviation in the First World War: Its Impact and Influence,"Layman, R. D.",1996,39.95,32.4,13.0
9781557506504,"Operation Pacific: The Royal Navy's War Against Japan, 1941-1945","Gray, Edwyn",1991,28.95,65.87,12.97
9781510708716,The Jutland Scandal: The Truth about the First World War?s Greatest Sea Battle,"Harper Vice-Admiral, John",2016,24.99,20.63,12.85
9781510708716,The Jutland Scandal: The Truth about the First World War?s Greatest Sea Battle,"Harper Vice-Admiral, John",2016,24.99,20.63,12.85
